,keywords,id,year,_realpage,_sentiment,_description,_place,_title,_publisher,_date
0,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0011,20,11,neutral,"
VII 
Seite 
Geschwindsprechsätze . 70 
Katzenmusik 71 
Rätsel 72 
Scherzrätsel 73 
Auflösungen der Rätsel . » 74 
Beschäftigungen der einzelnen Rinder im Freien. 
Spiellust im Frühling 75 
Ostereier färben 76 
Spiele am Sandhaufen 77 
Ballspiele 78 
Reifentrciben . 81 
Seifenblasen zu machen 81 
Maikäfer 82 
Maikäferlicder 82 
Schneckenlicder 83 
Komm, wir wollen wandern 84 
Blummen sammeln 84 
Pfeifen schnitzen 84 
Allerhand Blumcnspiele 85 
Buchstaben aus Syringenblütcn 86 
Kränze und Guirlandcn aus Blättern 87 
Kränze winden 88 
Das Ausschlagen von Blättern 89 
Allerlei aus Fruchtabfällen und Früchten 89 
Ketten aus Kirschkernen (89), Das Storchnest (90), Der Reiter 
vom Ahornbaum (91), Das Klcttcnkörbchcn (91), Das Fräulein 
von Mohn (92), Die Mohnvasc (93), Ketten aus Perlen und 
Bnc[...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
1,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0046,50,46,neutral,"
34 
Flechtarbeit. 
Eine der schönsten und beliebtesten Beschäftigungen für 
Kinder ist die des Flechtens mit bunten Papierstreifen. Sie übt 
das kindliche Auge, geschmackvolle Farben zusammen zu stellen 
und erweckt selbst die Lust, eigne Muster zu erfinden, weshalb 
diese Arbeiten auch meist von schon älteren Kindern ausgeführt 
werden. Indes auch die Kleinen fin- 
— ■ den ihr Vergnügen bei dieser Thätig- 
feit, darum sei dieselbe, wenn auch nur 
kurz, hier erwähnt. 
• Das Material ist billig. Man 
QQ- • nimmt ein Oktav- oder Quartblatt 
VT 11 farbiges Papier und biegt dasselbe der 
gig . 66 . Länge nach in der Mitte zusammen, 
nachdem mit einem Lineal in gleichen 
Abständen parallele Linien darauf gezeichnet worden sind. Jedoch 
muß ein Rand von ungefähr der Breite eineg Fingers an alle[...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
2,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0103,110,103,neutral,"
91 
Der Reiter „ vom Ahornbaum. 
Der Ahornbaum hat eine längliche grüne Frucht, 
einer Schote ähnlich, welche auseinander geteilt den 
Kindern zu mancherlei Spaß dient, denn sie setzen 
sie als Klammer entweder auf ihre Nasen oder auch 
auf die Finger, wobei die Frucht in der Phantasie 
des Kindes als Reiter gilt und die Finger, als 
Pferde gedacht, stolz mit ihrer Bürde hin- und 
herreiten. 
Das Klettcnkörbchcn. 
Die Klette ist ein niedriges, großblätteriges Gewächs, dessen 
Blüten mit Stacheln versehen sind. Sie wächst allerwärts und 
ist sprichwörtlich geworden, weil ihre Blüten und Früchte vermöge 
ihrer Stacheln überall hasten bleiben. So 
bewerfen sich auch die Kinder oft spaßes 
halber mit denselben. Eine zweckmäßigere 
Beschäftigung aber ist, aus den Klet 
ten etwas zu verfertigen[...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
3,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0050,50,50,neutral,"
38 
ihren Puppen und sich selbst allerlei niedliche Schmnckgegenstündc 
herzustcllen. Bevor aber solche verfertigt werden können, muß man 
die Perlen auf verschiedene Art aufzureihen lernen. Einige solcher 
Aufreihungen folgen nun hier. Als Faden für die Arbeit wird 
entweder Zwirn, Roßhaar oder Draht verwendet. Gummi 
schnur ist nur bei größeren Perlen und an ganz geschlossenen Ketten 
verwendbar. Zwirn nimmt man nur in Ermangelung von Roß 
haar, da dasselbe besser hält, und Draht wird für Schmuck- 
gegenstände wie Broschen, Kreuze, Agraffen u. s. w. verwendet. 
Wer mit Roßhaar fädelt, bedarf keiner Nadel bei der Arbeit, 
weil das Roßhaar an sich so steif ist, daß es die Nadel voll 
kommen ersetzt. Da indes die Nadel in der Abbildung das Fä 
deln deutlicher veranschaulicht, so dient hier[...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
4,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0115,120,115,neutral,"
103 
hinausgeschossen hat. Der Treffer schießt alsdann noch einmal auf 
die Kugel; stößt er sie an, so gehört sie ihm. 
Brcttrollen. 
Ein Brett von einigen Fuß Länge wird schräg über eine 
Bank oder einen hohen Stein gelegt. Hinter dem hochliegenden 
Teil des Brettes stellen sich die Mitspielenden nacheinander auf 
und lassen einzeln jeder seine Kugel herabrollen und zwar so, 
daß immer der Nachfolgende eine Kugel des Vorhergehenden 
zu treffen sucht; gelingt cs, so gehört diese ihm; hat er aber fehl 
geschossen, so dient seine eigene Murmel nunmehr seinem Hinter 
mann wieder zum Ziel. 
Kugelgrube. 
Es wird ein Grübchen mit dem Absatz des Stiefels in die 
Erde gebohrt und ein Strich als Standzeichen einige Schritte 
entfernt von der Grube gezogen Der Spieler, der bei diesem Spiel 
beginnt[...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
5,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0007,10,7,neutral,"
Fenn die Kinder müde vom Spielen im Freien 
mch Hause kommen und nun da unterhalten sein 
wollen, so ist wohl manche Mutter iu Verlegen 
heit, was sie mit der kleinen ungeduldigen Schar 
anfängt, um ihr die Zeit bis zum Schlafengehen zu ver 
treiben, und sie sucht unwillkürlich im Schatz ihrer Er 
innerungen nach und besinnt sich, welche Berschen ihr 
einst von der Mutter gesagt wurden, welche Spiele damals 
ihr Kinderherz ergötzten. Aber manches schöne Spiel ist 
ihrem Gedächtnis entfallen, auf manches Berschen kann sie sich 
nicht recht besinnen, oder sie hat wohl gar von früher Zeit an das 
Glück der treuen pflegenden Obhut eines liebenden Mutterherzens 
entbehren müssen. 
In allen diesen Fällen soll das vorliegende Büchlein, welches 
zugleich gewissermaßen ein Vorläufer der beiden, in[...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
6,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0093,100,93,neutral,"
81 
in der Luft befindet, von dem betreffenden Spieler in die Hände 
geklatscht wird. Und zwar muß der Lehrling je einmal, der Ge 
selle je zweimal und der Meister je dreimal klatschen, ehe er den 
Vall fängt. 
Ein sehr beliebtes Ballspiel ist Schlagball oder Ball 
schlagen. Bei diesem braucht der Spielende den Ball nicht 
zu fangen, sondern muß ihn immer wieder von neuem Nieder 
schlagen. Am besten gelingt es, wenn man gleichmäßig, nie zu 
heftig schlägt, so daß der Ball nicht über die Höhe der schlagen 
den Hand springen kann. Es wird bei diesem Spiel nur gezählt; 
wenn mehrere Spieler sich daran beteiligen, hat derjenige gewonnen, 
der den Ball am häufigsten Niederschlagen konnte. 
Reifcntrciben. 
Ebenso wie das Ballspiel, ist auch das Reifentreibeu ein 
Tummelspicl. Am besten nimmt ma[...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
7,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0085,90,85,neutral,"
73 
Schcrzrätsel, 
12. Welche Peter machen den meisten Lärm? 
13. Welchem Knecht gibt man keinen Lohn? 
14. Welche Schützen haben kein Gewehr? 
15. Was thut die Gans, tvenn sie auf einem Beine steht? 
16. Auf welcher Straße ist noch kein Mensch gefahren? 
17. Welcher Abend fängt schon am Morgen an? 
18. Welche Zeiten sind die besten? 
19. Welches Licht brennt länger, ein Wachslicht oder ein Talglicht? 
20. Wo hat der Großvater den ersten Lössel genommen? 
21. Wann ist der Müller ohne Kopf in der Mühle? 
22. Wann ist es gefährlich in den Garten zu geh'n? 
23. Welche Biere schäumen am meisten? 
24. Wer hat es bequemer, Kaffee oder Thee? 
25. Welches ist der höflichste Fisch? 
26. Warum kann ein Pferd kein Schneider sein? 
27. Wer fährt immer mit Sieben? 
28. Wohin geht man, wenn man sechs J[...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
8,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,negative (Sentiment)",PPN745143385_PHYS_0119,120,119,negative,"
107 
zu erreichen suchen, während sich der schwarze Mann bemühen 
muß, einen von ihnen beim Laufen über den Platz zwischen den 
beiden Malen zu fangen, Gelingt es ihm, so muß der Gefangene 
auch schwarzer Mann werden und mit zu Haschen suchen. Beide 
laufen nun wieder von der Seite aus, wo zuvor die andern 
standen, denn diese haben sich jetzt ihrerseits wieder gegenüber 
aufgestellt. Das Spiel dauert so lang, bis alle Mitspielcndcn von 
den schwarzen Männern, deren ja bei jedem Laufen mehr wer 
den, gefangen sind. 
Ganz ähnlich ist das Spiel 
Der Spitz und die Hühner, 
welches in Amerika an Stelle des schwarzen Mannes von den 
Kindern gespielt wird. 
Ein Quadrat wird abgestcckt. Zwei gegenüberliegende Seiten 
bilden das Mal. Die Hühner stehen bei dem einen großen Mal, 
während der Spitz [...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
9,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891",PPN745143385_PHYS_0135,140,135,,Keine OCR-Ergebnisse vorhaben.,Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
